ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
2194092,9408,12,3.0,20:16:56,2021/06/17,83783,1,1,21,2021-06-17 20:16:56.000,1623944816,Operation,0,12,1
2194093,9358,12,50.0,20:17:35,2021/06/17,83783,1,1,21,2021-06-17 20:17:35.000,1623944855,Operation,0,12,1
2194094,9359,12,60.0,20:17:36,2021/06/17,83783,1,1,21,2021-06-17 20:17:36.000,1623944856,Operation,0,12,1
2194164,9408,12,4.0,23:02:39,2021/06/17,83783,1,1,21,2021-06-17 23:02:39.000,1623954759,Operation,0,12,1
2194165,9358,12,55.0,23:02:43,2021/06/17,83783,1,1,21,2021-06-17 23:02:43.000,1623954763,Operation,0,12,1
2194166,9359,12,51.0,23:02:45,2021/06/17,83783,1,1,21,2021-06-17 23:02:45.000,1623954765,Operation,0,12,1
2225307,9408,12,2.5,14:11:11,2021/06/20,83732,1,1,21,2021-06-20 14:11:11.000,1624182071,Operation,0,12,1
2225308,9358,12,64.0,14:11:15,2021/06/20,83732,1,1,21,2021-06-20 14:11:15.000,1624182075,Operation,0,12,1
2225309,9359,12,65.0,14:11:16,2021/06/20,83732,1,1,21,2021-06-20 14:11:16.000,1624182076,Operation,0,12,1
2225565,9408,12,2.8,17:29:06,2021/06/20,83783,1,1,21,2021-06-20 17:29:06.000,1624193946,Operation,0,12,1
2225566,9358,12,73.0,17:29:11,2021/06/20,83783,1,1,21,2021-06-20 17:29:11.000,1624193951,Operation,0,12,1
2225567,9359,12,70.0,17:29:13,2021/06/20,83783,1,1,21,2021-06-20 17:29:13.000,1624193953,Operation,0,12,1
2225758,9408,12,3.2,20:11:45,2021/06/20,83769,1,1,21,2021-06-20 20:11:45.000,1624203705,Operation,0,12,1
2225759,9408,12,3.2,20:11:45,2021/06/20,83769,1,1,21,2021-06-20 20:11:45.000,1624203705,Operation,0,12,1
2225760,9358,12,73.0,20:11:50,2021/06/20,83769,1,1,21,2021-06-20 20:11:50.000,1624203710,Operation,0,12,1
2225761,9358,12,73.0,20:11:50,2021/06/20,83769,1,1,21,2021-06-20 20:11:50.000,1624203710,Operation,0,12,1
2225762,9359,12,73.0,20:11:51,2021/06/20,83769,1,1,21,2021-06-20 20:11:51.000,1624203711,Operation,0,12,1
2225763,9359,12,73.0,20:11:51,2021/06/20,83769,1,1,21,2021-06-20 20:11:51.000,1624203711,Operation,0,12,1
2226160,9408,12,3.2,23:32:17,2021/06/20,83706,1,1,21,2021-06-20 23:32:17.000,1624215737,Operation,0,12,1
2226161,9408,12,3.2,23:32:17,2021/06/20,83706,1,1,21,2021-06-20 23:32:17.000,1624215737,Operation,0,12,1
2226162,9358,12,72.0,23:32:20,2021/06/20,83706,1,1,21,2021-06-20 23:32:20.000,1624215740,Operation,0,12,1
2226163,9358,12,72.0,23:32:20,2021/06/20,83706,1,1,21,2021-06-20 23:32:20.000,1624215740,Operation,0,12,1
2226164,9359,12,72.0,23:32:22,2021/06/20,83706,1,1,21,2021-06-20 23:32:22.000,1624215742,Operation,0,12,1
2226165,9359,12,72.0,23:32:22,2021/06/20,83706,1,1,21,2021-06-20 23:32:22.000,1624215742,Operation,0,12,1
2226636,9408,12,3.6,02:22:37,2021/06/21,83706,1,1,21,2021-06-21 02:22:37.000,1624225957,Operation,0,12,1
2226638,9358,12,70.0,02:22:40,2021/06/21,83706,1,1,21,2021-06-21 02:22:40.000,1624225960,Operation,0,12,1
2226640,9359,12,71.0,02:22:43,2021/06/21,83706,1,1,21,2021-06-21 02:22:43.000,1624225963,Operation,0,12,1
2226655,9408,12,3.6,02:22:37,2021/06/21,83706,1,1,21,2021-06-21 02:22:37.000,1624225957,Operation,0,12,1
2226657,9358,12,70.0,02:22:40,2021/06/21,83706,1,1,21,2021-06-21 02:22:40.000,1624225960,Operation,0,12,1
2226659,9359,12,71.0,02:22:43,2021/06/21,83706,1,1,21,2021-06-21 02:22:43.000,1624225963,Operation,0,12,1
2226694,9359,12,71.0,02:22:43,2021/06/21,83706,1,1,21,2021-06-21 02:22:43.000,1624225963,Operation,0,12,1
2226949,9408,12,3.6,05:09:26,2021/06/21,83769,1,1,21,2021-06-21 05:09:26.000,1624235966,Operation,0,12,1
2226952,9358,12,70.0,05:09:29,2021/06/21,83769,1,1,21,2021-06-21 05:09:29.000,1624235969,Operation,0,12,1
2226955,9359,12,71.0,05:09:30,2021/06/21,83769,1,1,21,2021-06-21 05:09:30.000,1624235970,Operation,0,12,1
2226969,9408,12,3.6,05:09:26,2021/06/21,83769,1,1,21,2021-06-21 05:09:26.000,1624235966,Operation,0,12,1
2226972,9358,12,70.0,05:09:29,2021/06/21,83769,1,1,21,2021-06-21 05:09:29.000,1624235969,Operation,0,12,1
2226974,9408,12,3.6,05:09:26,2021/06/21,83769,1,1,21,2021-06-21 05:09:26.000,1624235966,Operation,0,12,1
2226975,9359,12,71.0,05:09:30,2021/06/21,83769,1,1,21,2021-06-21 05:09:30.000,1624235970,Operation,0,12,1
2226977,9358,12,70.0,05:09:29,2021/06/21,83769,1,1,21,2021-06-21 05:09:29.000,1624235969,Operation,0,12,1
2226980,9359,12,71.0,05:09:30,2021/06/21,83769,1,1,21,2021-06-21 05:09:30.000,1624235970,Operation,0,12,1
