AssetID,Value,DateTime
8319,34,57:31.0
8319,42,00:27.0
8319,38,43:36.0
8319,46,41:46.0
8319,48,54:13.0
8319,43,28:37.0
8319,37,37:01.0
8319,41,54:31.0
8319,43,34:37.0
8319,45,08:52.0
8319,44,38:31.0
8319,48,41:53.0
8319,44,39:39.0
8319,40,30:41.0
8319,46,33:13.0
8319,40,48:46.0
8319,49,42:42.0
8319,48,31:11.0
8319,44,42:50.0
8319,40,38:36.0
8319,46,48:49.0
8319,42,26:11.0
8319,47,48:14.0
8319,44,42:02.0
8319,39,13:42.0
8319,48,14:14.0
8319,48,51:15.0
8319,43,28:51.0
8319,38,31:25.0
8319,46,48:16.0
8319,40,12:46.0
8319,45,10:42.0
8319,47.5,37:12.0
8319,40,05:05.0
8319,46,22:09.0
8319,49,36:45.0
8319,46,17:39.0
8319,41,40:39.0
8319,45,11:14.0
8319,46.5,49:53.0
8319,42,52:02.0
8319,46,57:17.0
8319,41,52:16.0
8319,49,29:43.0
8319,45,29:06.0
8319,38,15:04.0
8319,48,35:15.0
8319,49,07:39.0
8319,46,29:42.0
8319,39,34:09.0
8319,45,29:58.0
8319,48,46:25.0
8319,45,09:56.0
8319,47,13:45.0
8319,46,47:41.0
8319,44,27:39.0
8319,37.5,14:51.0
8319,46,22:21.0
8319,48,24:52.0
8319,45,36:00.0
8319,42,01:21.0
8319,49,08:39.0
8319,40,16:45.0
8319,49,37:25.0
8319,43,35:21.0
8319,40,30:15.0
8319,49,57:30.0
8319,46,20:41.0
8319,44,47:36.0
8319,40,10:22.0
8319,40,53:53.0
8319,45,40:36.0
8319,49,46:22.0
8319,45,40:31.0
8319,47,24:59.0
8319,45,45:02.0
8319,40,11:55.0
8319,46,16:05.0
8319,48,56:57.0
8319,45,20:06.0
8319,41,36:12.0
8319,47,41:12.0
8319,43,51:32.0
8319,46,35:53.0
8319,43,21:33.0
8319,48,42:35.0
8319,43,06:22.0
8319,41,31:13.0
8319,46,19:18.0
8319,44,06:59.0
8319,42,09:18.0
8319,43,39:26.0
8319,40,45:37.0
8319,38,52:55.0
8319,39,00:21.0
8319,46,52:43.0
8319,45,53:17.0
8319,44,10:00.0
8319,42,30:29.0
8319,47,33:30.0
8319,47,58:35.0
8319,45,45:00.0
8319,41,42:58.0
8319,48,13:10.0
8319,46,30:27.0
8319,48,26:08.0
8319,45,28:49.0
8319,50,59:06.0
8319,46,07:57.0
8319,40,57:18.0
8319,50,59:59.0
8319,46,00:01.0
8319,44,45:18.0
8319,40,40:32.0
8319,48,41:46.0
8319,40,09:16.0
8319,44,23:39.0
8319,44,25:58.0
8319,42,08:25.0
8319,42,22:58.0
8319,44,54:19.0
8319,44,46:26.0
8319,41,11:14.0
8319,42,27:15.0
8319,48,23:02.0
8319,43,50:12.0
8319,47,07:42.0
8319,45,43:38.0
8319,41,54:59.0
8319,48,51:02.0
8319,36,36:33.0
8319,36,52:47.0
8319,37,13:14.0
