Value_9362,Value_9363,Value_9364,Value_9365,Value_9366,Value_9367,Value_9371,Value_9372,BaseTimeStamp,BaseDateTime
57.0,20.0,68.0,38.0,29.0,11.0,55.0,54.0,1616262481.0,2021-03-20 17:48:01
54.0,20.0,58.0,29.0,22.0,13.0,61.0,60.0,1616269959.0,2021-03-20 19:52:39
54.0,20.0,57.0,28.0,21.0,13.0,63.0,62.0,1616281421.0,2021-03-20 23:03:41
52.0,19.0,52.0,28.0,24.0,13.0,64.0,56.0,1616292820.0,2021-03-21 02:13:40
58.0,20.0,58.0,29.0,27.0,12.0,60.0,60.0,1616302357.0,2021-03-21 04:52:37
56.0,21.0,56.0,26.0,27.0,13.0,65.0,65.0,1616355662.0,2021-03-21 19:41:02
55.0,20.0,58.0,27.0,23.0,13.0,63.0,63.0,1616363706.0,2021-03-21 21:55:06
57.0,20.0,53.0,26.0,25.0,12.0,65.0,64.0,1616373286.0,2021-03-22 00:34:46
55.0,20.0,60.0,28.0,25.0,12.0,67.0,66.0,1616516284.0,2021-03-23 16:18:04
59.0,20.0,59.0,36.0,20.0,14.0,61.0,60.0,1616568962.0,2021-03-24 06:56:02
54.0,20.0,61.0,36.0,19.0,13.0,61.0,60.0,1616578532.0,2021-03-24 09:35:32
54.0,19.5,65.0,38.0,23.0,12.0,62.0,61.0,1616589610.0,2021-03-24 12:40:10
57.0,20.0,67.0,38.0,29.0,11.0,58.0,57.0,1616428411.0,2021-03-22 15:53:31
57.0,21.0,56.0,26.0,21.0,13.0,64.0,64.0,1616459856.0,2021-03-23 00:37:36
56.0,20.0,60.0,32.0,21.0,13.0,62.0,61.0,1616323049.0,2021-03-21 10:37:29
54.0,20.0,68.0,40.0,27.0,11.0,58.0,57.0,1616611293.0,2021-03-24 18:41:33
58.0,20.0,70.0,40.0,27.0,11.0,58.0,57.0,1616623396.0,2021-03-24 22:03:16
47.0,16.0,48.0,38.0,17.0,13.0,56.0,55.0,1617205768.0,2021-03-31 15:49:28
52.0,17.0,50.0,33.0,20.0,13.0,62.0,61.0,1617293894.0,2021-04-01 16:18:14
50.0,17.0,49.0,34.0,27.6,11.7,60.0,59.0,1617596110.0,2021-04-05 04:15:10
50.3,17.3,46.0,24.0,20.0,13.0,62.0,61.0,1617485964.0,2021-04-03 21:39:24
48.0,16.0,45.0,27.0,23.0,12.0,59.0,58.0,1617628107.0,2021-04-05 13:08:27
48.0,17.0,51.0,26.0,24.0,12.0,57.0,56.0,1617649684.0,2021-04-05 19:08:04
52.0,17.0,56.0,21.0,27.0,11.0,63.0,62.0,1617445190.0,2021-04-03 10:19:50
45.0,15.0,44.0,27.0,23.0,12.0,63.0,62.0,1617552924.0,2021-04-04 16:15:24
58.0,16.0,52.0,25.0,28.3,11.3,61.0,61.0,1617950421.0,2021-04-09 06:40:21
51.0,17.5,50.6,23.2,25.8,10.0,56.0,56.0,1617972380.0,2021-04-09 12:46:20
52.0,18.0,56.4,29.1,29.0,12.0,62.0,56.0,1617800189.0,2021-04-07 12:56:29
51.0,18.0,57.0,32.0,21.0,11.0,56.0,51.0,1617821455.0,2021-04-07 18:50:55
47.0,15.0,40.0,24.0,28.0,11.0,66.0,59.0,1617702573.0,2021-04-06 09:49:33
45.0,15.0,45.0,21.0,26.0,11.0,62.0,61.0,1617889247.0,2021-04-08 13:40:47
47.0,15.0,45.0,21.0,31.0,12.0,60.0,60.0,1617897047.0,2021-04-08 15:50:47
50.0,17.0,55.0,26.0,24.0,12.0,61.0,60.0,1618069445.0,2021-04-10 15:44:05
47.0,13.0,54.0,28.0,23.0,10.6,60.0,59.0,1618103437.0,2021-04-11 01:10:37
49.5,17.7,55.0,29.2,27.4,12.0,60.0,59.0,1618114042.0,2021-04-11 04:07:22
49.0,16.0,41.0,23.0,25.0,12.0,61.0,60.0,1618123565.0,2021-04-11 06:46:05
50.0,18.0,56.0,24.0,23.0,12.0,60.0,59.0,1618135260.0,2021-04-11 10:01:00
50.0,17.0,56.0,28.0,24.0,11.0,65.0,64.0,1618145964.0,2021-04-11 12:59:24
50.0,18.0,56.0,30.0,25.0,12.0,62.0,56.0,1618155618.0,2021-04-11 15:40:18
49.0,18.0,56.0,29.0,25.0,12.0,57.0,58.0,1617994511.0,2021-04-09 18:55:11
49.0,17.0,54.0,30.0,23.0,12.0,59.0,56.0,1618004457.0,2021-04-09 21:40:57
51.0,18.0,60.0,30.0,27.0,11.0,58.0,64.0,1618200317.0,2021-04-12 04:05:17
53.0,16.0,48.0,19.0,29.0,10.0,62.0,60.0,1618222426.0,2021-04-12 10:13:46
48.0,17.0,48.0,19.0,29.0,10.0,61.0,57.0,1618233251.0,2021-04-12 13:14:11
47.0,17.0,53.0,27.0,26.0,12.0,58.0,60.0,1618241910.0,2021-04-12 15:38:30
52.0,18.0,60.0,34.0,28.0,10.0,61.0,56.0,1617918407.0,2021-04-08 21:46:47
52.0,18.0,60.0,30.0,26.0,11.0,56.0,63.0,1618287222.0,2021-04-13 04:13:42
48.0,17.0,51.0,23.0,25.0,12.0,61.0,57.0,1618318640.0,2021-04-13 12:57:20
51.0,17.0,54.0,27.0,23.0,12.0,58.0,58.0,1618329658.0,2021-04-13 16:00:58
54.0,18.0,57.0,27.0,26.0,11.0,57.0,55.0,1618340135.0,2021-04-13 18:55:35
54.0,17.0,54.0,26.0,26.0,11.0,59.0,66.0,1618350707.0,2021-04-13 21:51:47
53.0,17.0,55.0,24.0,24.0,12.0,55.0,56.0,1618362049.0,2021-04-14 01:00:49
52.0,17.0,47.0,21.0,27.0,11.0,57.0,55.0,1618026141.0,2021-04-10 03:42:21
50.0,17.0,53.0,27.0,25.0,11.0,61.0,63.0,1618632155.0,2021-04-17 04:02:35
49.0,17.0,51.0,26.0,26.0,12.0,63.0,58.0,1618652434.0,2021-04-17 09:40:34
50.0,18.0,57.0,29.0,26.0,12.0,60.0,61.0,1618663979.0,2021-04-17 12:52:59
51.0,18.0,60.0,32.0,24.0,12.0,59.0,59.0,1618675297.0,2021-04-17 16:01:37
51.0,19.0,62.0,32.0,28.0,12.0,62.0,56.0,1618685642.0,2021-04-17 18:54:02
51.0,19.0,61.0,33.0,26.0,11.0,62.0,58.0,1618943726.0,2021-04-20 18:35:26
54.0,19.0,63.0,30.0,31.0,10.0,59.0,58.0,1618955423.0,2021-04-20 21:50:23
54.0,19.0,63.0,30.0,31.0,10.0,59.0,58.0,1618967750.0,2021-04-21 01:15:50
55.0,20.0,61.0,27.0,31.0,10.0,59.0,60.0,1618978575.0,2021-04-21 04:16:15
55.0,18.0,59.0,27.0,31.0,10.0,61.0,64.0,1618988571.0,2021-04-21 07:02:51
51.0,18.0,57.0,29.0,23.0,13.0,65.0,63.0,1619000075.0,2021-04-21 10:14:35
52.0,18.0,59.0,31.0,21.0,13.0,64.0,58.0,1619008968.0,2021-04-21 12:42:48
53.0,19.0,65.0,36.0,35.0,9.0,58.0,62.0,1619021335.0,2021-04-21 16:08:55
53.0,19.0,62.0,32.0,27.0,11.0,62.0,60.0,1619032317.0,2021-04-21 19:11:57
52.0,20.0,63.0,30.0,27.0,11.0,61.0,58.0,1619042371.0,2021-04-21 21:59:31
52.0,20.0,63.0,30.0,32.0,10.0,58.0,58.0,1619052638.0,2021-04-22 00:50:38
56.0,20.0,63.0,25.0,30.0,10.0,59.0,54.0,1619062928.0,2021-04-22 03:42:08
56.0,19.0,60.0,28.0,32.0,10.0,60.0,63.0,1619073471.0,2021-04-22 06:37:51
53.0,19.0,64.0,31.0,28.0,11.0,61.0,61.0,1619290253.0,2021-04-24 18:50:53
53.0,19.0,64.0,31.0,28.0,10.0,60.0,58.0,1619300807.0,2021-04-24 21:46:47
53.0,19.0,62.0,28.0,29.0,11.0,60.0,59.0,1619311975.0,2021-04-25 00:52:55
58.0,20.0,58.0,22.0,28.0,11.0,68.0,67.0,1619323083.0,2021-04-25 03:58:03
53.0,19.0,61.0,29.0,23.0,13.0,64.0,63.0,1619333088.0,2021-04-25 06:44:48
50.0,18.0,62.0,32.0,21.0,13.0,63.0,62.0,1619344168.0,2021-04-25 09:49:28
50.0,18.0,64.0,34.0,32.0,9.0,58.0,57.0,1619354777.0,2021-04-25 12:46:17
52.0,18.0,62.0,35.0,29.0,10.0,57.0,56.0,1618404126.0,2021-04-14 12:42:06
51.0,18.0,60.0,28.0,27.0,11.0,60.0,59.0,1618415270.0,2021-04-14 15:47:50
53.0,17.0,62.0,29.0,24.0,12.0,58.0,58.0,1618425312.0,2021-04-14 18:35:12
52.0,19.0,60.0,31.0,27.0,11.0,57.0,56.0,1618438417.0,2021-04-14 22:13:37
52.0,19.0,59.0,26.0,28.0,11.0,57.0,56.0,1618447956.0,2021-04-15 00:52:36
55.0,19.0,55.0,23.0,28.0,11.0,64.0,63.0,1618458871.0,2021-04-15 03:54:31
55.0,18.0,54.0,23.0,28.0,11.0,66.0,66.0,1618470374.0,2021-04-15 07:06:14
49.0,18.0,64.0,30.0,29.0,10.0,60.0,59.0,1619376959.0,2021-04-25 18:55:59
57.0,20.0,61.0,25.0,32.0,11.0,61.0,60.0,1619408764.0,2021-04-26 03:46:04
53.0,19.0,62.0,28.0,24.0,12.0,62.0,61.0,1618491699.0,2021-04-15 13:01:39
