Value_9362,MatchedTimeStamp_9362,Value_9363,MatchedTimeStamp_9363,Value_9364,MatchedTimeStamp_9364,Value_9365,MatchedTimeStamp_9365,Value_9366,MatchedTimeStamp_9366,Value_9367,MatchedTimeStamp_9367,Value_9371,MatchedTimeStamp_9371,Value_9372,MatchedTimeStamp_9372,BaseTimeStamp,BaseDateTime
80.0,2023-07-11 19:34:29,31.0,2023-07-11 19:34:32,70.0,2023-07-11 19:34:35,44.0,2023-07-11 19:34:37,45.0,2023-07-11 19:34:39,39.0,2023-07-11 19:34:41,64.0,2023-07-11 17:05:37,65.0,2023-07-11 17:05:39,1689095139.0,2023-07-11 17:05:39
80.0,2023-07-23 07:32:48,32.0,2023-07-23 10:31:54,76.0,2023-07-23 07:32:53,45.0,2023-07-23 10:32:03,42.0,2023-07-23 10:32:06,46.0,2023-07-23 10:32:08,63.0,2023-07-23 04:52:46,64.0,2023-07-23 04:52:48,1690087968.0,2023-07-23 04:52:48
84.0,2023-08-28 19:49:44,31.0,2023-08-28 19:49:47,67.0,2023-08-28 19:49:49,40.0,2023-08-28 22:31:55,28.0,2023-08-28 22:31:57,27.0,2023-08-28 22:31:59,63.0,2023-08-28 19:50:37,64.0,2023-08-28 19:50:39,1693252239.0,2023-08-28 19:50:39
84.0,2023-08-28 19:49:44,31.0,2023-08-28 22:31:52,64.0,2023-08-28 22:31:53,40.0,2023-08-28 22:31:55,28.0,2023-08-28 22:31:57,27.0,2023-08-28 22:31:59,63.0,2023-08-28 19:50:37,64.0,2023-08-28 19:50:39,1693252239.0,2023-08-28 19:50:39
82.0,2023-09-09 16:38:44,31.0,2023-09-09 19:46:08,70.0,2023-09-09 16:38:49,45.0,2023-09-09 19:46:11,25.0,2023-09-09 22:38:23,25.0,2023-09-09 22:38:25,63.0,2023-09-09 16:39:09,64.0,2023-09-09 16:39:10,1694277550.0,2023-09-09 16:39:10
83.0,2023-09-17 07:31:12,28.0,2023-09-17 10:32:46,73.0,2023-09-17 07:31:16,47.0,2023-09-17 10:32:48,43.0,2023-09-17 10:32:49,43.0,2023-09-17 10:32:56,62.0,2023-09-17 04:59:46,64.0,2023-09-17 07:31:42,1694935902.0,2023-09-17 07:31:42
86.0,2023-09-13 07:34:54,30.0,2023-09-13 07:34:54,66.0,2023-09-13 10:31:29,43.0,2023-09-13 07:34:56,39.0,2023-09-13 07:34:57,35.0,2023-09-13 07:34:58,67.0,2023-09-13 07:35:11,68.0,2023-09-13 07:35:12,1694590512.0,2023-09-13 07:35:12
82.0,2023-10-20 16:55:34,30.0,2023-10-20 16:55:37,72.0,2023-10-20 16:55:38,45.0,2023-10-20 19:41:06,36.0,2023-10-20 19:41:09,35.0,2023-10-20 19:41:11,62.0,2023-10-20 16:55:57,63.0,2023-10-20 16:56:00,1697820960.0,2023-10-20 16:56:00
86.0,2023-10-20 19:40:59,30.0,2023-10-20 19:41:01,71.0,2023-10-20 19:41:04,45.0,2023-10-20 19:41:06,31.0,2023-10-20 22:44:22,30.0,2023-10-20 22:44:25,62.0,2023-10-20 16:55:57,63.0,2023-10-20 19:41:29,1697830889.0,2023-10-20 19:41:29
86.0,2023-10-20 19:40:59,30.0,2023-10-20 19:41:01,71.0,2023-10-20 19:41:04,44.0,2023-10-20 22:44:20,31.0,2023-10-20 22:44:22,30.0,2023-10-20 22:44:25,62.0,2023-10-20 19:41:28,63.0,2023-10-20 19:41:29,1697830889.0,2023-10-20 19:41:29
85.0,2023-10-26 07:56:53,29.0,2023-10-26 07:56:55,68.0,2023-10-26 07:56:56,51.0,2023-10-26 10:46:38,46.0,2023-10-26 10:46:40,43.0,2023-10-26 10:46:42,62.0,2023-10-26 04:51:34,63.0,2023-10-26 07:57:21,1698307041.0,2023-10-26 07:57:21
83.0,2023-10-23 17:16:23,30.0,2023-10-23 17:16:24,73.0,2023-10-23 17:16:27,49.0,2023-10-23 17:16:30,35.0,2023-10-23 17:16:32,30.0,2023-10-23 17:16:34,62.0,2023-10-23 17:16:52,63.0,2023-10-23 17:16:54,1698081414.0,2023-10-23 17:16:54
83.0,2023-10-23 19:38:19,30.0,2023-10-23 19:38:20,72.0,2023-10-23 19:38:23,48.0,2023-10-23 19:38:25,33.0,2023-10-23 19:38:27,29.0,2023-10-23 19:38:29,62.0,2023-10-23 19:38:44,63.0,2023-10-23 19:38:45,1698089925.0,2023-10-23 19:38:45
85.0,2023-10-23 22:46:26,31.0,2023-10-23 22:46:27,71.0,2023-10-23 22:46:29,51.0,2023-10-23 22:46:32,33.0,2023-10-23 22:46:39,34.0,2023-10-23 22:46:40,62.0,2023-10-23 22:46:55,63.0,2023-10-23 22:46:56,1698101216.0,2023-10-23 22:46:56
85.0,2023-10-23 22:46:26,31.0,2023-10-23 22:46:27,71.0,2023-10-23 22:46:29,51.0,2023-10-23 22:46:32,33.0,2023-10-23 22:46:39,34.0,2023-10-23 22:46:40,62.0,2023-10-23 22:46:55,63.0,2023-10-23 22:46:56,1698101216.0,2023-10-23 22:46:56
